RECORD_ID,STUDENT_ID,ENROLLMENT_DATE,ACADEMIC_STANDING,CURRENT_GPA,CREDIT_HOURS_ATTEMPTED,CREDIT_HOURS_EARNED,MAJOR_CODE,ADVISOR_ID,FINANCIAL_AID_AMOUNT,LAST_LOGIN_DATE,TOTAL_COURSE_VIEWS,ASSIGNMENT_SUBMISSIONS,DISCUSSION_POSTS,AVG_ASSIGNMENT_SCORE,COURSE_COMPLETION_RATE,PLAGIARISM_INCIDENTS,WRITING_QUALITY_SCORE,ENGAGEMENT_SCORE,AT_RISK_FLAG,INTERVENTION_COUNT,LAST_UPDATED
RET_000035,STU_202400035,2024-08-05 0:00:00,Distinguished Standing,2.71,12,11,BUSN,ADV_1117,24950.3,2025-07-10 14:28:37,34,10,5,60.4,0.92,0,93.9,37.8,FALSE,0,2025-08-01 2:57:37
RET_000036,STU_202400036,2024-08-13 0:00:00,Distinguished Standing,3.68,20,18,HIST,ADV_1105,0,2025-07-28 14:28:37,100,14,26,58.3,0.93,2,89.3,29.3,FALSE,1,2025-08-01 13:43:37
RET_000037,STU_202400037,2024-08-14 0:00:00,Conditional Standing,3.53,13,10,BIOL,ADV_1114,6734.51,2025-07-25 14:28:37,99,15,6,66.1,0.96,0,49.3,28,FALSE,0,2025-07-31 20:27:37
RET_000038,STU_202400038,2024-08-01 0:00:00,Satisfactory Progress,3.97,14,12,ANTH,ADV_1021,0,2025-07-30 14:28:37,220,19,4,82.3,0.81,0,61.9,76.2,FALSE,0,2025-07-31 15:25:37
RET_000039,STU_202400039,2024-08-13 0:00:00,Conditional Standing,2.69,13,12,FINC,ADV_1002,32801.59,2025-07-25 14:28:37,102,10,23,49.1,0.37,0,37.4,75.8,FALSE,1,2025-08-01 11:48:37
RET_000040,STU_202400040,2024-08-13 0:00:00,Dean's List,3.53,13,12,ENGR,ADV_1063,2681.94,2025-07-27 14:28:37,102,10,16,56.1,0.33,6,74.6,31.3,FALSE,3,2025-08-01 2:14:37
RET_000041,STU_202400041,2024-08-03 0:00:00,Academic Warning,3.89,20,19,ACCT,ADV_1141,2377.85,2025-07-25 14:28:37,98,19,25,90.8,0.58,0,36.9,32.4,FALSE,2,2025-07-31 15:31:37
RET_000042,STU_202400042,2024-08-12 0:00:00,Probationary Status,3.78,18,14,ANTH,ADV_1072,5058.9,2025-07-31 14:28:37,331,11,29,70.9,0.35,3,79.1,26,FALSE,2,2025-08-01 4:02:37
RET_000043,STU_202400043,2024-08-07 0:00:00,Distinguished Standing,3.62,19,16,SOCI,ADV_1143,23381.33,2025-07-29 14:28:37,332,10,30,88.9,0.89,0,57.8,53.3,FALSE,2,2025-08-01 6:25:37
RET_000044,STU_202400044,2024-08-06 0:00:00,Good Standing,3.8,19,13,COMP,ADV_1054,19601.26,2025-08-01 14:28:37,305,8,18,51.6,0.82,3,76.7,69.9,FALSE,2,2025-08-01 0:18:37
RET_000045,STU_202400045,2024-08-05 0:00:00,Academic Probation,3.99,16,13,BUSN,ADV_1013,0,2025-08-01 14:28:37,323,9,28,64.2,0.45,0,57.5,33.7,FALSE,0,2025-08-01 7:36:37
RET_000046,STU_202400046,2024-08-03 0:00:00,Conditional Standing,3.55,18,12,PHYS,ADV_1048,0,2025-07-29 14:28:37,263,14,6,65.9,0.52,0,65.8,26.2,FALSE,2,2025-08-01 10:11:37
RET_000047,STU_202400047,2024-08-04 0:00:00,Dean's List,2.82,17,15,COMM,ADV_1038,0,2025-08-01 14:28:37,162,20,12,94.7,0.56,8,55.5,24.8,TRUE,8,2025-07-31 23:17:37
RET_000048,STU_202400048,2024-08-13 0:00:00,Academic Warning,2.51,12,11,PHIL,ADV_1015,13587.75,2025-07-31 14:28:37,154,8,0,63,0.43,7,46.6,90.7,FALSE,0,2025-07-31 22:18:37
RET_000049,STU_202400049,2024-08-06 0:00:00,Distinguished Standing,2.88,16,15,MGMT,ADV_1090,0,2025-07-29 14:28:37,395,16,10,83.7,0.33,0,40,31.9,FALSE,3,2025-07-31 20:49:37
RET_000050,STU_202400050,2024-08-02 0:00:00,Excellent Standing,1.09,12,9,NURS,ADV_1010,7666.25,2025-07-27 14:28:37,91,19,12,78.4,0.95,0,75.3,67.1,TRUE,3,2025-08-01 3:32:37
RET_000051,STU_202400051,2024-08-02 0:00:00,Satisfactory Progress,3.03,16,12,PSYC,ADV_1038,0,2025-07-26 14:28:37,65,10,6,64.1,0.42,7,88.7,88.1,TRUE,7,2025-07-31 14:32:37
RET_000052,STU_202400052,2024-08-07 0:00:00,Good Standing,3.05,19,18,THEA,ADV_1009,6855.31,2025-07-27 14:28:37,51,11,29,56.8,0.76,0,42.7,39.9,FALSE,3,2025-08-01 6:28:37
RET_000053,STU_202400053,2024-08-02 0:00:00,Excellent Standing,3.83,13,12,COMM,ADV_1148,6661.67,2025-07-27 14:28:37,55,9,26,61.1,0.72,1,57.4,72,TRUE,3,2025-08-01 13:23:37
RET_000054,STU_202400054,2024-08-06 0:00:00,Dean's List,3.52,15,11,MUSC,ADV_1077,2417.23,2025-07-21 14:28:37,50,21,10,58.5,0.37,0,83.1,27.8,TRUE,8,2025-07-31 22:55:37
RET_000055,STU_202400055,2024-08-14 0:00:00,Academic Probation,3.71,19,17,ACCT,ADV_1085,3444.42,2025-07-26 14:28:37,136,11,11,79,0.92,3,78.4,20.3,TRUE,2,2025-07-31 17:30:37
RET_000056,STU_202400056,2024-08-06 0:00:00,Satisfactory Progress,2,17,13,PHIL,ADV_1023,11884.41,2025-07-25 14:28:37,58,8,28,65.5,0.75,7,39.2,89.8,FALSE,0,2025-07-31 22:17:37
RET_000057,STU_202400057,2024-08-10 0:00:00,Academic Warning,3.66,18,15,ENGL,ADV_1013,0,2025-08-01 14:28:37,209,15,7,61.5,0.82,0,92.9,54.3,FALSE,3,2025-08-01 8:44:37
RET_000058,STU_202400058,2024-08-05 0:00:00,Satisfactory Progress,1.18,13,9,ANTH,ADV_1028,12329.35,2025-07-31 14:28:37,165,11,31,60.9,0.41,5,82.2,15.6,FALSE,3,2025-08-01 5:43:37
RET_000059,STU_202400059,2024-08-13 0:00:00,Probationary Status,3.14,15,14,POLI,ADV_1107,26562.43,2025-08-01 14:28:37,210,23,21,52.2,0.52,0,42.3,46.1,FALSE,1,2025-08-01 0:13:37
RET_000060,STU_202400060,2024-08-01 0:00:00,Excellent Standing,2.77,18,16,COMP,ADV_1046,7352.05,2025-08-01 14:28:37,283,18,18,85.2,0.46,1,46.1,59.2,FALSE,3,2025-08-01 12:20:37
RET_000061,STU_202400061,2024-08-12 0:00:00,Excellent Standing,3.21,20,19,EDUC,ADV_1042,19328.85,2025-07-27 14:28:37,81,15,3,93.5,0.77,2,82.5,71.8,FALSE,1,2025-08-01 1:24:37
RET_000062,STU_202400062,2024-08-08 0:00:00,Warning Status,1.92,12,10,GEOG,ADV_1073,2188.55,2025-07-29 14:28:37,305,16,20,54.8,0.74,0,38,89.1,FALSE,1,2025-08-01 1:29:37
RET_000063,STU_202400063,2024-08-09 0:00:00,Academic Suspension,3.28,14,10,COMP,ADV_1147,19956.63,2025-07-25 14:28:37,58,7,9,95.2,0.39,0,54.2,24,TRUE,4,2025-07-31 20:29:37
RET_000064,STU_202400064,2024-08-02 0:00:00,Satisfactory Progress,3.71,20,16,MATH,ADV_1144,14057.24,2025-07-29 14:28:37,210,10,27,83.8,0.52,0,63.6,78.4,FALSE,0,2025-07-31 14:05:37
RET_000065,STU_202400065,2024-08-15 0:00:00,Warning Status,3.16,20,19,MATH,ADV_1046,32965.04,2025-07-29 14:28:37,258,15,15,61.2,0.7,0,94.3,32.6,FALSE,2,2025-08-01 13:58:37
RET_000066,STU_202400066,2024-08-07 0:00:00,Distinguished Standing,2.73,12,9,THEA,ADV_1117,14886.56,2025-07-18 14:28:37,22,9,23,66.3,0.42,0,46.2,27.8,FALSE,0,2025-08-01 12:25:37
RET_000067,STU_202400067,2024-08-02 0:00:00,Excellent Standing,3.74,15,14,COMM,ADV_1149,23513.95,2025-07-26 14:28:37,147,13,1,85.8,0.6,0,75.6,24,FALSE,1,2025-08-01 2:53:37
RET_000068,STU_202400068,2024-08-09 0:00:00,Conditional Standing,1.12,15,10,PHYS,ADV_1093,28933.07,2025-07-28 14:28:37,126,11,35,83.9,0.48,1,65.5,34,FALSE,1,2025-07-31 17:44:37
RET_000069,STU_202400069,2024-08-05 0:00:00,Excellent Standing,3.69,12,11,CHEM,ADV_1010,0,2025-07-25 14:28:37,86,16,30,48.8,0.4,0,93.5,82.4,FALSE,2,2025-07-31 14:25:37
RET_000070,STU_202400070,2024-08-14 0:00:00,Satisfactory Progress,1.08,15,11,MGMT,ADV_1024,11790.02,2025-07-30 14:28:37,384,7,0,91.1,0.81,0,87.7,37.1,FALSE,2,2025-08-01 12:21:37
RET_000071,STU_202400071,2024-08-11 0:00:00,Academic Warning,3.1,19,16,ENGL,ADV_1077,4834.08,2025-07-26 14:28:37,103,19,23,65.5,0.52,0,46.4,58.2,FALSE,3,2025-07-31 20:05:37
RET_000072,STU_202400072,2024-08-10 0:00:00,Distinguished Standing,3.97,13,11,HIST,ADV_1083,14986.37,2025-07-22 14:28:37,31,7,24,94.9,0.41,0,80.7,61.1,FALSE,2,2025-08-01 13:49:37
RET_000073,STU_202400073,2024-08-15 0:00:00,Satisfactory Progress,3.53,15,12,FINC,ADV_1095,0,2025-07-28 14:28:37,148,16,31,79,0.56,0,85.9,71.2,FALSE,0,2025-08-01 8:34:37
RET_000074,STU_202400074,2024-08-14 0:00:00,Satisfactory Progress,2.59,19,14,CHEM,ADV_1098,7970.68,2025-07-26 14:28:37,104,10,30,46.8,0.87,2,73.1,93.8,TRUE,2,2025-07-31 23:32:37
RET_000075,STU_202400075,2024-08-06 0:00:00,Honor Roll,2.93,19,16,PSYC,ADV_1018,34528.42,2025-08-01 14:28:37,328,14,16,77.4,0.96,0,71.1,92.4,TRUE,3,2025-08-01 10:36:37
RET_000076,STU_202400076,2024-08-10 0:00:00,Dean's List,3,17,13,MATH,ADV_1110,11140.75,2025-07-29 14:28:37,304,14,0,51.2,0.36,0,52.1,89.6,FALSE,2,2025-07-31 17:23:37
RET_000077,STU_202400077,2024-08-04 0:00:00,Probationary Status,1.39,16,14,MUSC,ADV_1141,0,2025-07-26 14:28:37,100,11,33,93.7,0.91,0,84.5,91.1,FALSE,2,2025-08-01 4:17:37
RET_000078,STU_202400078,2024-08-12 0:00:00,Honor Roll,3,13,10,PSYC,ADV_1017,29078.04,2025-07-26 14:28:37,82,15,34,80.2,0.57,8,88.4,96.7,TRUE,7,2025-08-01 1:23:37
RET_000079,STU_202400079,2024-08-02 0:00:00,Excellent Standing,3.84,18,12,MATH,ADV_1075,0,2025-07-26 14:28:37,146,7,22,88.6,0.49,0,51.9,88.6,FALSE,3,2025-07-31 14:32:37
RET_000080,STU_202400080,2024-08-01 0:00:00,Satisfactory Progress,3.83,15,14,CHEM,ADV_1121,10979.76,2025-07-26 14:28:37,139,7,10,88.7,0.3,0,38.7,28.1,TRUE,6,2025-08-01 12:41:37
RET_000081,STU_202400081,2024-08-11 0:00:00,Probationary Status,2.75,15,13,RELI,ADV_1035,11787.54,2025-07-26 14:28:37,117,18,18,84.2,0.42,0,89.2,97.8,FALSE,2,2025-08-01 3:14:37
RET_000082,STU_202400082,2024-08-04 0:00:00,Dean's List,3.68,16,14,GEOG,ADV_1032,26504.59,2025-07-30 14:28:37,200,10,32,95.7,0.62,0,80.3,59.2,TRUE,4,2025-08-01 0:25:37
RET_000083,STU_202400083,2024-08-13 0:00:00,Honor Roll,3.09,20,14,MGMT,ADV_1071,0,2025-07-30 14:28:37,201,8,12,58.9,0.93,0,75.4,62.1,FALSE,1,2025-07-31 20:20:37
RET_000084,STU_202400084,2024-08-05 0:00:00,Satisfactory Progress,2.04,12,10,NURS,ADV_1085,21713.89,2025-07-31 14:28:37,372,15,5,60.7,0.56,8,75.5,94.2,FALSE,2,2025-08-01 8:26:37
RET_000085,STU_202400085,2024-08-02 0:00:00,Academic Probation,2.98,14,12,COMM,ADV_1135,33200.08,2025-07-27 14:28:37,53,16,30,71,0.83,0,81.3,50.3,FALSE,1,2025-08-01 12:59:37
RET_000086,STU_202400086,2024-08-14 0:00:00,Distinguished Standing,2.64,12,9,MUSC,ADV_1106,6978.41,2025-07-28 14:28:37,146,15,2,50.2,0.67,7,75.7,65.7,FALSE,1,2025-08-01 11:37:37
RET_000087,STU_202400087,2024-08-04 0:00:00,Honor Roll,3.35,16,14,THEA,ADV_1135,6763.63,2025-07-28 14:28:37,112,20,21,77.3,0.54,0,50.7,81,FALSE,0,2025-08-01 0:51:37
RET_000088,STU_202400088,2024-08-14 0:00:00,Dean's List,3.58,16,13,ANTH,ADV_1054,26215.16,2025-07-27 14:28:37,90,12,25,65.2,0.34,8,83.7,38.2,TRUE,3,2025-08-01 3:45:37
RET_000089,STU_202400089,2024-08-02 0:00:00,Honor Roll,2.57,18,17,JOUR,ADV_1054,6354.09,2025-07-27 14:28:37,62,13,25,83.8,0.92,0,53,36.6,TRUE,6,2025-08-01 14:28:37
RET_000090,STU_202400090,2024-08-07 0:00:00,Academic Suspension,3.05,19,14,RELI,ADV_1015,29747.6,2025-07-31 14:28:37,372,13,15,64.7,0.73,0,67.8,32.8,TRUE,6,2025-07-31 23:12:37
RET_000091,STU_202400091,2024-08-05 0:00:00,Academic Suspension,2.96,19,15,ECON,ADV_1028,29056.87,2025-07-25 14:28:37,115,18,12,45.2,0.75,1,37.6,75.9,FALSE,3,2025-07-31 15:35:37
RET_000092,STU_202400092,2024-08-08 0:00:00,Excellent Standing,3.11,20,18,CHEM,ADV_1147,21409.28,2025-07-14 14:28:37,6,21,2,96.9,0.82,0,62.9,79.1,TRUE,6,2025-07-31 18:23:37
RET_000093,STU_202400093,2024-08-11 0:00:00,Academic Probation,2.78,18,15,ENGR,ADV_1136,23458.58,2025-07-29 14:28:37,305,14,5,63.6,0.96,0,90.4,16.7,FALSE,1,2025-07-31 21:52:37
RET_000094,STU_202400094,2024-08-14 0:00:00,Academic Warning,3.53,12,10,SOCI,ADV_1023,0,2025-07-09 14:28:37,47,12,18,77.5,0.8,6,87.1,48.7,FALSE,1,2025-08-01 4:53:37
RET_000095,STU_202400095,2024-08-06 0:00:00,Academic Warning,3.88,17,14,ANTH,ADV_1124,8518.85,2025-07-06 14:28:37,50,9,8,71.6,0.36,0,44.2,46.2,FALSE,1,2025-07-31 16:08:37
RET_000096,STU_202400096,2024-08-03 0:00:00,Dean's List,2.61,16,12,JOUR,ADV_1074,8914.76,2025-07-25 14:28:37,71,9,30,80.5,0.47,3,87.4,59.4,TRUE,6,2025-07-31 16:10:37
RET_000097,STU_202400097,2024-08-06 0:00:00,Conditional Standing,2.62,13,10,PHYS,ADV_1110,24039.57,2025-07-31 14:28:37,177,19,1,53.6,0.95,8,44,92,TRUE,2,2025-08-01 6:37:37
RET_000098,STU_202400098,2024-08-06 0:00:00,Distinguished Standing,3,17,16,BIOL,ADV_1082,28864.46,2025-07-16 14:28:37,19,17,30,95.9,0.77,0,61.1,87.6,FALSE,3,2025-07-31 18:19:37
RET_000099,STU_202400099,2024-08-04 0:00:00,Academic Warning,2.86,17,16,PSYC,ADV_1067,18767.07,2025-07-25 14:28:37,61,11,4,79.5,0.56,4,70.6,24.6,FALSE,0,2025-07-31 19:55:37
RET_000100,STU_202400100,2024-08-11 0:00:00,Distinguished Standing,2.91,16,14,GEOG,ADV_1135,7078.87,2025-07-26 14:28:37,133,23,14,57,0.38,0,40.7,72.6,FALSE,3,2025-08-01 0:02:37
RET_000101,STU_202400101,2024-08-05 0:00:00,Dean's List,1.44,16,12,MUSC,ADV_1148,0,2025-07-31 14:28:37,237,15,7,75.6,0.39,0,44,89.8,FALSE,3,2025-07-31 19:53:37
RET_000102,STU_202400102,2024-08-12 0:00:00,Academic Probation,3.08,20,18,MGMT,ADV_1091,4141.96,2025-07-26 14:28:37,123,10,3,76.6,0.43,0,36.3,34.1,FALSE,2,2025-07-31 20:15:37
RET_000103,STU_202400103,2024-08-15 0:00:00,Conditional Standing,3.37,12,11,PHYS,ADV_1034,0,2025-07-26 14:28:37,90,20,8,72.8,0.72,0,53.2,73.1,TRUE,6,2025-08-01 1:06:37
RET_000104,STU_202400104,2024-08-11 0:00:00,Conditional Standing,3.73,18,16,ARTS,ADV_1145,0,2025-07-26 14:28:37,51,22,29,61.9,0.87,4,46.4,93.8,FALSE,2,2025-08-01 9:50:37
RET_000105,STU_202400105,2024-08-11 0:00:00,Academic Suspension,2.89,14,12,MKTG,ADV_1128,0,2025-07-29 14:28:37,277,24,9,77.2,0.4,0,64.9,24.4,FALSE,1,2025-08-01 6:11:37
RET_000106,STU_202400106,2024-08-02 0:00:00,Excellent Standing,1.61,19,18,GEOG,ADV_1134,0,2025-08-01 14:28:37,303,12,32,98,0.39,0,86.1,54.8,TRUE,5,2025-07-31 22:39:37
RET_000107,STU_202400107,2024-08-10 0:00:00,Satisfactory Progress,3.28,16,15,CHEM,ADV_1128,7414.98,2025-07-02 14:28:37,41,18,13,71.5,0.79,0,74.9,90.5,FALSE,0,2025-08-01 11:02:37
RET_000108,STU_202400108,2024-08-11 0:00:00,Conditional Standing,3.2,18,14,ENGR,ADV_1127,24478.1,2025-07-27 14:28:37,69,18,14,82.5,0.34,0,41.4,63.2,FALSE,0,2025-07-31 15:23:37
RET_000109,STU_202400109,2024-08-03 0:00:00,Good Standing,1.89,12,10,PHIL,ADV_1047,15429.65,2025-07-19 14:28:37,36,12,10,98,0.68,7,52.4,76.2,FALSE,0,2025-07-31 18:38:37
RET_000110,STU_202400110,2024-08-09 0:00:00,Dean's List,3.2,15,12,BUSN,ADV_1060,0,2025-07-25 14:28:37,94,14,4,73.2,0.5,0,91.6,26.2,FALSE,3,2025-07-31 14:56:37
RET_000111,STU_202400111,2024-08-12 0:00:00,Conditional Standing,3.82,15,13,EDUC,ADV_1075,0,2025-07-29 14:28:37,329,15,6,52,0.83,3,92.4,58,TRUE,4,2025-08-01 9:58:37
RET_000112,STU_202400112,2024-08-04 0:00:00,Conditional Standing,1.14,19,18,MGMT,ADV_1050,25392.41,2025-08-01 14:28:37,367,14,10,75.9,0.61,0,55.3,59.7,FALSE,2,2025-08-01 7:37:37
RET_000113,STU_202400113,2024-08-03 0:00:00,Warning Status,2.64,17,14,ENGR,ADV_1001,28115.21,2025-07-30 14:28:37,203,18,12,84.3,0.31,0,72.1,34.2,FALSE,2,2025-08-01 4:37:37
RET_000114,STU_202400114,2024-08-08 0:00:00,Distinguished Standing,3.36,14,13,MKTG,ADV_1031,10656.12,2025-07-31 14:28:37,323,12,27,81.4,0.42,0,70.9,25.5,FALSE,0,2025-07-31 21:23:37
RET_000115,STU_202400115,2024-08-07 0:00:00,Good Standing,3.01,20,15,JOUR,ADV_1007,24160.14,2025-07-27 14:28:37,110,6,7,97.4,0.76,0,55.5,90.4,FALSE,1,2025-08-01 7:31:37
RET_000116,STU_202400116,2024-08-05 0:00:00,Warning Status,3.94,13,10,CHEM,ADV_1120,21129.9,2025-07-30 14:28:37,310,11,2,51.4,0.58,0,76.3,57.2,FALSE,0,2025-07-31 13:42:37
